category	challenge	photo
body	Do a 15-minute stretch for your back and shoulders.	You stretching.
body	Hit a new personal best on any lift or exercise.	The weight, reps or time.
fuel	Drink 3 liters of water today.	Your bottle count or tracker.
fuel	Eat 5 servings of vegetables today.	One of the plates.
fuel	No sugar at all today.	Your cleanest meal of the day.
fuel	Cook every meal yourself today.	One meal you cooked.
fuel	Eat a protein-rich breakfast (30g+).	Your breakfast.
fuel	No fast food or takeout today.	Your homemade dinner.
fuel	Eat a fruit you haven't had in a month.	The fruit.
fuel	Meal-prep lunches for the next 3 days.	The containers.
fuel	No soda or juice today, only water, tea or black coffee.	Your drink of the day.
fuel	Eat slowly: no screens at one full meal.	The table, screen-free.
fuel	Try a vegetable you've never cooked before.	It on your plate.
fuel	Hit your protein target today.	Your food log or plates.
fuel	No snacking after 8 pm.	Your kitchen, closed for the night.
fuel	Eat a big salad as one meal.	The salad.
fuel	Pack your own lunch.	The packed lunch.
fuel	Skip alcohol today.	What you drank instead.
fuel	Cook a new healthy recipe.	The finished dish.
fuel	Eat a handful of nuts or seeds instead of a sweet snack.	Your snack.
fuel	No fried food today.	Your healthiest meal.
fuel	Start the day with a full glass of water before coffee.	The glass.
fuel	Build a plate that's half vegetables.	The plate.
fuel	Read the label of everything you eat today, and skip one thing.	What you skipped.
fuel	Make a smoothie with greens in it.	The smoothie.
fuel	Eat fish or a plant protein for dinner.	Dinner.
fuel	No processed snacks today.	Your whole-food snack.
fuel	Drink a glass of water with every meal.	Your glass at a meal.
fuel	Clear one junk item out of your pantry for good.	The item heading out.
fuel	Eat breakfast sitting down, no phone.	Your breakfast spot.
fuel	Cook enough dinner for tomorrow's lunch.	The leftovers packed.
fuel	Swap your usual dessert for fruit.	The fruit.
fuel	Eat three meals at regular times today.	One of the meals, with the time.
fuel	Make your own coffee or tea instead of buying one.	Your cup.
fuel	Try a new spice or herb in a meal.	The spice and the meal.
fuel	Eat a high-fiber food at every meal.	One of them.
fuel	Write a grocery list and stick to it exactly.	The list and your haul.
fuel	No eating in the car today.	Your meal at a table.
fuel	Have a bowl of soup or stew you made.	The bowl.
fuel	Eat the rainbow: 4 different-colored foods today.	The colorful plate.
fuel	No added salt at the table today.	Your meal.
fuel	Batch-cook a big pot of grains or beans.	The pot.
mind	Journal for 15 minutes.	The journal page (cover the private parts).
mind	Meditate for 15 minutes.	Your meditation spot.
mind	Write down 10 things you're grateful for.	The list.
mind	Read 30 pages of a book.	The book, open to where you stopped.
mind	Spend 30 minutes with no screens at all.	What you did instead.
mind	Write your top 3 goals for the week.	The note.
mind	Do a 10-minute breathing exercise.	Where you did it.
mind	Write a letter to your future self.	The sealed envelope.
mind	Sit in silence for 10 minutes.	The spot.
mind	Write down one fear and one step to face it.	The note.
mind	Read a chapter of a book about discipline or habits.	The book.
mind	Spend 20 minutes on a puzzle, sudoku or crossword.	The finished (or attempted) puzzle.
mind	Listen to a full podcast or lecture on something new.	The episode screen.
mind	Write out your ideal day in detail.	The page.
mind	Write down 3 wins from this week.	The list.
mind	Do a 20-minute digital declutter (apps, photos, files).	Your cleaner home screen.
mind	Plan tomorrow tonight, hour by hour.	The plan.
mind	Learn and write down 10 words in a new language.	Your list.
mind	Watch the sunset or sunrise without your phone (photo after).	The sky.
mind	Write down a mistake you made and what you learned.	The note.
mind	Take a 20-minute nap or rest with eyes closed.	Where you rested.
mind	Turn off all notifications for 3 hours.	Your notification settings.
mind	Write a one-page reflection on why you joined the Shadow Routine.	The page.
mind	Spend 15 minutes in a place you find peaceful.	The place.
mind	Do a body scan meditation before bed.	Your bed or mat.
mind	Read something from a philosopher or old text.	The passage.
mind	Write down a limiting belief and rewrite it.	Both versions.
mind	Draw or doodle for 15 minutes, no judging.	The drawing.
mind	Write 3 things you'd tell your younger self.	The note.
mind	Name your biggest distraction and remove it for the day.	The distraction, put away.
mind	Keep your phone in another room for 2 hours.	Your phone, far away.
mind	Memorize a short poem or quote.	It, written from memory.
mind	Write your personal rules: 5 things you always do.	The list.
mind	Listen to a full album start to finish, doing nothing else.	The album.
mind	Write a list of 10 things that energize you.	The list.
mind	Spend 10 minutes visualizing your goal as done.	Where you sat.
mind	Write about your best day this year.	The page.
mind	Put your phone on grayscale for the day.	Your gray screen.
mind	End the day with a written "done" list.	The list.
mind	Read for 20 minutes before bed instead of scrolling.	The book on your nightstand.
discipline	Wake up 30 minutes earlier than usual.	Your clock or alarm.
discipline	Make your bed as soon as you get up.	The made bed.
discipline	Take a 2-minute cold shower.	The shower (keep it decent).
discipline	No social media for the whole day.	Your screen-time report.
discipline	Be in bed with lights out by 10:30 pm.	Your clock at lights out.
discipline	Do the task you've been avoiding the longest.	Proof it's done.
discipline	Work in a 90-minute focus block, no interruptions.	Your timer and workspace.
discipline	No complaining at all today; start over if you slip.	A tally of your restarts.
discipline	Lay out tomorrow's clothes and gear tonight.	The laid-out clothes.
discipline	Finish your hardest task before noon.	Proof it's done, with the time.
discipline	Say no to one thing that doesn't serve you.	Something that stands for it.
discipline	No phone for the first hour after waking.	Your morning without it.
discipline	Keep your screen time under 2 hours today.	Your screen-time report.
discipline	Do 25 minutes of work, 5 off, four times in a row.	Your timer or tally.
discipline	Get up at the first alarm, no snooze.	The alarm time.
discipline	Finish something you started and never completed.	The finished thing.
discipline	Stand up straight all day: set 5 posture reminders.	Your reminders.
discipline	No online shopping today.	Your empty cart.
discipline	Spend 30 minutes on a skill you want to master.	You practicing.
discipline	Do every chore on your list before relaxing.	The checked-off list.
discipline	Track every dollar you spend today.	Your spending log.
discipline	No caffeine after noon.	Your afternoon drink.
discipline	Arrive 10 minutes early to everything today.	You early, with the time.
discipline	Write a to-do list and finish every item.	The completed list.
discipline	Turn your phone off for an hour in the evening.	The phone, off.
discipline	Do 10 push-ups every time you check social media.	Your push-up tally.
discipline	Wake up and move for 10 minutes before anything else.	You moving.
discipline	No TV or streaming today.	What you did instead.
discipline	Set a budget for the week and write it down.	The budget.
discipline	Keep one promise to yourself you usually break.	Proof you kept it.
discipline	Read instead of watching anything tonight.	The book.
discipline	Clear your inbox to zero (or under 10).	Your inbox.
discipline	Do a full weekly review: calendar, goals, money.	Your review notes.
discipline	End your cold shower with 30 seconds colder.	The shower dial.
discipline	No eating after dinner.	Your kitchen, closed for the night.
discipline	Delete one time-wasting app for a week.	Your home screen without it.
discipline	Wake up at the same time as yesterday, weekend or not.	Your alarm.
discipline	Walk away from one argument or impulse today.	Something that stands for it.
discipline	Put in 20 minutes on your side project.	Your progress.
discipline	Plan your whole week's workouts.	The plan.
outdoors	Get 20 minutes of sunlight before 10 am.	The morning sky.
outdoors	Go for a walk in a park or nature spot.	The trail or trees.
outdoors	Eat one meal outside.	Your outdoor meal.
outdoors	Watch the sunrise.	The sunrise.
outdoors	Find and photograph something beautiful on a walk.	That thing.
outdoors	Take a hike of 2 miles or more.	The trail.
outdoors	Spend an hour outside without your phone out.	Where you were.
outdoors	Go barefoot on grass or sand for 10 minutes.	Your feet in the grass.
outdoors	Work out outdoors today.	Your outdoor workout spot.
outdoors	Pick up 10 pieces of litter.	The litter bag.
outdoors	Visit a place in your town you've never been.	The place.
outdoors	Watch the sunset.	The sunset.
outdoors	Look at the stars for 10 minutes.	The night sky.
outdoors	Walk to an errand instead of driving.	Where you walked to.
outdoors	Find a new running or walking route.	The route map.
outdoors	Sit by water (lake, river, ocean, fountain) for 10 minutes.	The water.
outdoors	Plant something or tend a plant.	The plant.
outdoors	Take a walk in the rain (safely).	The rainy street.
outdoors	Stretch or do yoga outside.	Your outdoor spot.
outdoors	Bike somewhere you'd normally drive.	Your bike at the destination.
outdoors	Climb to the highest point you can find nearby.	The view.
outdoors	Spot and photograph 3 different birds or animals.	One of them.
outdoors	Take a 30-minute walk at lunch.	The walk.
outdoors	Have a phone call while walking outside.	Where you walked.
outdoors	Find a tree and read under it for 20 minutes.	The tree.
outdoors	Go on a walk and don't take the same street twice.	Your route.
outdoors	Watch the clouds for 5 minutes.	The clouds.
outdoors	Sit outside with your coffee or tea in the morning.	Your cup outside.
outdoors	Do a workout in a park using only what's there.	The park.
outdoors	Take a photo walk: 10 photos of details you usually miss.	Your favorite one.
outdoors	Spend 30 minutes in the sun (with sunscreen).	The sunny spot.
outdoors	Walk a new loop of at least 2 miles.	The map.
outdoors	Visit a trail, beach or field before 8 am.	The early view.
outdoors	Collect a leaf, stone or shell from your walk.	What you found.
outdoors	Do your stretching routine in the backyard or on a balcony.	The spot.
outdoors	Get outside for 10 minutes every 3 hours today.	One of the breaks.
outdoors	Find a hill and walk or run it 5 times.	The hill.
outdoors	Go for a night walk (in a safe area).	The night street.
outdoors	Garden, rake or do yard work for 30 minutes.	The finished work.
outdoors	Take someone on a walk with you.	The path you walked.
connection	Text 3 people to tell them what they mean to you.	One of the texts (hide names).
connection	Call a family member you haven't talked to lately.	The call log (hide numbers).
connection	Write a handwritten note to someone.	The note.
connection	Buy coffee for a stranger or coworker.	The coffee.
connection	Compliment 5 people today.	Your tally.
connection	Help someone with a task without being asked.	The finished task.
connection	Send a thank-you message to a mentor or teacher.	The message (hide names).
connection	Have a meal with someone, phones away.	The table.
connection	Reach out to an old friend.	The message (hide names).
connection	Leave a positive review for a small business.	The review.
connection	Donate something you don't use.	The donation bag.
connection	Cook for someone.	The meal.
connection	Ask someone how they're really doing, and listen.	Where you talked.
connection	Encourage someone in the cohort chat.	Your message.
connection	Write down what you appreciate about your partner, friend or family.	The note.
connection	Hold the door, let someone go first, be patient all day.	A tally of kind acts.
connection	Share something useful you learned with a friend.	What you shared.
connection	Spend 30 minutes fully present with someone you love.	Where you spent it.
connection	Send a voice note instead of a text to someone.	The voice note.
connection	Apologize for something you've been holding onto.	Something that stands for it.
connection	Invite someone to work out with you.	You two after (with their okay), or the spot.
connection	Tip generously today.	The receipt.
connection	Volunteer for an hour.	Where you volunteered.
connection	Write a list of people who helped you get here.	The list.
connection	Check in on someone who's been having a hard time.	The message (hide names).
connection	Make a playlist for someone.	The playlist.
connection	Give an honest, kind piece of feedback someone needs.	Something that stands for it.
connection	Introduce two people who should know each other.	The intro (hide names).
connection	Leave a kind note for a neighbor or coworker.	The note.
connection	Say thank you to someone who serves you today.	Where it happened.
connection	Play a game with family or friends.	The game.
connection	Call your parents or grandparents.	The call log (hide numbers).
connection	Write a birthday card ahead of time.	The card.
connection	Share your progress in the cohort chat.	Your post.
connection	Help a neighbor with something.	The task.
connection	Send a photo of something that reminded you of a friend.	What you sent.
connection	Spend time with a pet, or someone else's pet.	The pet.
connection	Forgive someone in writing (you don't have to send it).	The page.
connection	Make plans with a friend for this week.	The calendar invite.
connection	Tell someone about a goal and ask them to hold you to it.	The message (hide names).
order	Clean and organize your desk.	The clean desk.
order	Declutter one drawer completely.	The drawer.
order	Wash, dry, fold and put away all your laundry.	The folded stack.
order	Clean out your car.	The clean car.
order	Clean the kitchen before bed, sink empty.	The empty sink.
order	Throw away or donate 10 things.	The pile.
order	Organize your closet.	The closet.
order	Clean your bathroom top to bottom.	The bathroom.
order	Clear out your fridge.	The fridge.
order	Organize your phone's home screen.	The home screen.
order	Vacuum or sweep your whole place.	The clean floor.
order	Make your bed perfectly (hospital corners).	The bed.
order	Clean your shoes.	The shoes.
order	Organize your gym bag.	The packed bag.
order	Deep-clean one appliance.	The appliance.
order	Back up your phone or computer.	The finished backup screen.
order	Pay or schedule every bill that's due.	The confirmation (hide numbers).
order	Unsubscribe from 10 email lists.	Your cleaner inbox.
order	Organize your computer desktop and files.	The clean desktop.
order	Clean your windows or mirrors.	The shine.
order	Organize one shelf or cabinet.	The shelf.
order	Change your sheets.	The fresh bed.
order	Clear everything off your floor.	The clear floor.
order	Clean and organize your nightstand.	The nightstand.
order	Water and care for your plants.	The plants.
order	Delete 100 old photos you don't need.	Your camera roll count.
order	Organize your wallet or bag.	What's inside, neatly.
order	Tidy your entryway.	The entryway.
order	Wipe down every surface in your kitchen.	The counters.
order	Take out all trash and recycling.	The empty bins.
order	Fix one small thing that's been broken.	The fixed thing.
order	Organize your pantry by type.	The pantry.
order	Set up tomorrow's workspace tonight.	The workspace.
order	Clean your phone and keyboard.	Them, shining.
order	Label something that's always messy.	The labels.
order	Sort your mail and paperwork.	The sorted pile.
order	Clean out one digital folder you keep avoiding.	The folder, cleaner.
order	Iron or steam tomorrow's outfit.	The outfit.
order	Put everything back where it belongs before bed.	The tidy room.
order	Clean your workout gear and water bottle.	The gear.
craft	Learn to cook one new dish.	The dish.
craft	Practice an instrument for 30 minutes.	You playing, or the instrument.
craft	Write 500 words of anything.	The page or word count.
craft	Sketch something in front of you.	The sketch.
craft	Take 10 photos with a theme, and post your best in chat.	The best one.
craft	Watch a tutorial and try the skill right away.	Your attempt.
craft	Write a short poem.	The poem.
craft	Build or repair something with your hands.	What you made.
craft	Learn 5 chords or a new song section.	Your practice.
craft	Spend 30 minutes on a course you started.	The lesson screen.
craft	Learn to tie a new knot.	The knot.
craft	Write a page about something you know well, as if teaching it.	The page.
craft	Cook a meal from another culture.	The meal.
craft	Learn a basic first-aid skill.	Your notes.
craft	Practice handwriting or calligraphy for 15 minutes.	The page.
craft	Make something for someone.	What you made.
craft	Learn one keyboard shortcut per hour you work.	The list.
craft	Practice public speaking: record a 2-minute talk.	The recording screen.
craft	Solve a hard problem on paper.	The page.
craft	Write out your 5-year vision.	The page.
craft	Learn how something you use every day works.	Your notes.
craft	Try a new recipe without a phone, from a cookbook.	The dish and the book.
craft	Spend 20 minutes on a language app.	Your streak screen.
craft	Paint, color or design something.	The piece.
craft	Write a letter by hand.	The letter.
craft	Take a class or workshop online.	The screen.
craft	Build a budget spreadsheet.	The spreadsheet (hide numbers).
craft	Learn a magic trick or card trick.	The cards.
craft	Write a short story of 300 words.	The page.
craft	Teach someone a skill you have.	What you taught.
craft	Take apart and clean something with parts.	The parts.
craft	Learn 3 facts about your city's history.	Your notes.
craft	Practice a speech, pitch or introduction out loud.	Your notes.
craft	Start a book you've been meaning to read.	The book.
craft	Make a vision board, digital or paper.	The board.
craft	Write a review of the last book or movie you finished.	The review.
craft	Learn to cook a healthy breakfast you can repeat.	The breakfast.
craft	Map out a project from start to finish.	The map.
craft	Try photography: shoot one object 10 different ways.	Your favorite shot.
craft	Learn to properly sharpen a knife or tool.	The tool.
